Location,Borough,Date Installed
10th Avenue and 73rd Street,Brooklyn,7/28/2020
11th Avenue and 71st Street,Brooklyn,2/4/2021
11th Avenue and Ovington Avenue,Brooklyn,1/23/2021
14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,8/18/2013
17th Avenue and 72nd Street ,Brooklyn,4/12/2020
17th Avenue and 78th Street,Brooklyn,4/5/2021
17th Avenue at 73rd Street ,Brooklyn,3/31/2020
18th Avenue and 54th Street ,Brooklyn,4/7/2020
18th Avenue and 65th Street,Brooklyn,6/2/2022
18th Avenue and East 8th Street,Brooklyn,1/13/2021
20th Avenue and 64th Street,Brooklyn,9/17/2021
3rd Avenue and 16th Street,Brooklyn,5/25/2021
3rd Avenue and 33rd Street,Brooklyn,10/23/2015
3rd Avenue and 59th Street,Brooklyn,10/10/2020
3rd Avenue at 9th Street,Brooklyn,1/14/2020
4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,4/11/2019
4th Avenue and 36th Street,Brooklyn,3/29/2016
4th Avenue and 39th Street,Brooklyn,10/15/2015
4th Avenue and 44th Street,Brooklyn,10/21/2015
4th Avenue and 45th Street,Brooklyn,10/26/2015
4th Avenue and 54th Street,Brooklyn,10/21/2015
4th Avenue and 55th Street,Brooklyn,10/22/2015
4th Avenue and 59th Street,Brooklyn,1/6/2016
4th Avenue and 60th Street,Brooklyn,4/17/2017
4th Avenue and 9th Street,Brooklyn,10/26/2015
4th Avenue and Union Street,Brooklyn,10/18/2016
5th Avenue and 24th Street,Brooklyn,11/24/2021
5th Avenue and 3rd Street,Brooklyn,6/24/2022
5th Avenue and 89th Street,Brooklyn,12/12/2012
65th Street and Dahill Road,Brooklyn,1/6/2021
7th Avenue and 81st Street,Brooklyn,3/9/2020
7th Avenue and Sterling Place,Brooklyn,5/27/2022
86th Street and 19th Avenue,Brooklyn,9/20/2019
86th Street and Avenue W,Brooklyn,5/11/2022
86th Street and Battery Avenue,Brooklyn,9/10/2019
86th Street and Bay 22nd Street,Brooklyn,10/27/2015
86th Street and Bay 34th Street,Brooklyn,5/12/2022
86th Street and Fort Hamilton Parkway,Brooklyn,4/16/2019
86th Street and Van Sicklen Street,Brooklyn,6/4/2021
86th Street and West 6th Street,Brooklyn,7/16/2021
86th Street between 4th Avenue and 5th Avenue,Brooklyn,2/22/2016
86th Street between West 8th Street and West 9th Street (mid-block) ,Brooklyn,12/12/2018
"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,8/4/2021
87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,3/15/2019
8th Avenue and 67th Street,Brooklyn,5/14/2021
