,Location,Borough,Date Installed,lat,lng,lat2,lng2
0,10th Avenue and 73rd Street,Brooklyn,7/28/2020,40.625456,-74.012828,,
1,11th Avenue and 71st Street,Brooklyn,2/4/2021,40.625242,-74.009464,,
2,11th Avenue and Ovington Avenue,Brooklyn,1/23/2021,40.62681,-74.007835,,
3,14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,8/18/2013,,,,
4,17th Avenue and 72nd Street ,Brooklyn,4/12/2020,40.616555,-73.996582,,
5,17th Avenue and 78th Street,Brooklyn,4/5/2021,40.613111,-74.000158,,
6,17th Avenue at 73rd Street ,Brooklyn,3/31/2020,40.615995,-73.997165,,
7,18th Avenue and 54th Street ,Brooklyn,4/7/2020,40.625464,-73.983832,,
8,18th Avenue and 65th Street,Brooklyn,6/2/2022,40.619132,-73.990181,,
9,18th Avenue and East 8th Street,Brooklyn,1/13/2021,40.634195,-73.969869,,
10,20th Avenue and 64th Street,Brooklyn,9/17/2021,40.617125,-73.985232,,
11,3rd Avenue and 16th Street,Brooklyn,5/25/2021,40.667254,-73.994543,,
12,3rd Avenue and 33rd Street,Brooklyn,10/23/2015,40.657203,-74.004678,,
13,3rd Avenue and 59th Street,Brooklyn,10/10/2020,40.642604,-74.019804,,
14,3rd Avenue at 9th Street,Brooklyn,1/14/2020,40.671459,-73.991024,,
15,4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,4/11/2019,,,,
16,4th Avenue and 36th Street,Brooklyn,3/29/2016,40.65431,-74.004418,,
17,4th Avenue and 39th Street,Brooklyn,10/15/2015,40.652627,-74.006163,,
18,4th Avenue and 44th Street,Brooklyn,10/21/2015,40.649822,-74.009089,,
19,4th Avenue and 45th Street,Brooklyn,10/26/2015,40.64927,-74.009665,,
20,4th Avenue and 54th Street,Brooklyn,10/21/2015,40.64423,-74.014907,,
21,4th Avenue and 55th Street,Brooklyn,10/22/2015,40.64367,-74.015491,,
22,4th Avenue and 59th Street,Brooklyn,1/6/2016,40.641435,-74.017815,,
23,4th Avenue and 60th Street,Brooklyn,4/17/2017,40.640837,-74.018431,,
24,4th Avenue and 9th Street,Brooklyn,10/26/2015,40.670358,-73.988713,,
25,4th Avenue and Union Street,Brooklyn,10/18/2016,40.677406,-73.983048,,
26,5th Avenue and 24th Street,Brooklyn,11/24/2021,40.65967,-73.99517,,
27,5th Avenue and 3rd Street,Brooklyn,6/24/2022,40.672798,-73.983284,,
28,5th Avenue and 89th Street,Brooklyn,12/12/2012,40.61975,-74.027715,,
29,65th Street and Dahill Road,Brooklyn,1/6/2021,40.609463,-73.974184,,
30,7th Avenue and 81st Street,Brooklyn,3/9/2020,,,,
31,7th Avenue and Sterling Place,Brooklyn,5/27/2022,40.677078,-73.973686,,
32,86th Street and 19th Avenue,Brooklyn,9/20/2019,40.605936,-74.000457,,
33,86th Street and Avenue W,Brooklyn,5/11/2022,40.591921,-73.977223,,
34,86th Street and Battery Avenue,Brooklyn,9/10/2019,,,,
35,86th Street and Bay 22nd Street,Brooklyn,10/27/2015,40.605483,-73.999719,,
36,86th Street and Bay 34th Street,Brooklyn,5/12/2022,40.600136,-73.990864,,
37,86th Street and Fort Hamilton Parkway,Brooklyn,4/16/2019,40.620437,-74.024466,,
38,86th Street and Van Sicklen Street,Brooklyn,6/4/2021,40.591065,-73.975837,,
39,86th Street and West 6th Street,Brooklyn,7/16/2021,40.591452,-73.976513,,
40,86th Street between 4th Avenue and 5th Avenue,Brooklyn,2/22/2016,40.622799,-74.02835,40.621493,-74.026213
41,86th Street between West 8th Street and West 9th Street (mid-block) ,Brooklyn,12/12/2018,,,,
42,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,8/4/2021,,,,
43,87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,3/15/2019,,,,
44,8th Avenue and 67th Street,Brooklyn,5/14/2021,40.631486,-74.013726,,
45,8th Avenue and Windsor Place,Brooklyn,4/29/2022,40.660937,-73.983236,,
46,9th Avenue and 42nd Street,Brooklyn,11/4/2021,40.644267,-73.996843,,
47,Adams Street between Fulton Street and Johnson Street (mid-block),Brooklyn,2/21/2012,,,,
48,Adams Street/Boerum Place and Fulton Street,Brooklyn,4/25/2012,,,,
49,Adams Street/Boerum Place and Livingston Street,Brooklyn,5/9/2012,,,,
50,Atlantic Avenue and 134th Street,Brooklyn,11/3/2020,,,,
51,Atlantic Avenue and 3rd Avenue,Brooklyn,9/10/2018,40.685324,-73.980703,,
52,Atlantic Avenue and Boerum Place,Brooklyn,4/25/2012,40.689138,-73.990708,,
53,Atlantic Avenue and Bond Street,Brooklyn,11/26/2013,40.686931,-73.984831,,
54,Atlantic Avenue and Brooklyn Avenue,Brooklyn,8/8/2018,40.678157,-73.944151,,
55,Atlantic Avenue and Classon Avenue,Brooklyn,8/3/2019,40.679832,-73.958293,,
56,Atlantic Avenue and Clermont Avenue,Brooklyn,9/18/2018,40.682006,-73.96869,,
57,Atlantic Avenue and Franklin Avenue,Brooklyn,12/11/2020,40.679205,-73.955294,,
58,Atlantic Avenue and Hoyt Street,Brooklyn,5/23/2013,40.687773,-73.987001,,
59,Atlantic Avenue and Kingston Avenue,Brooklyn,7/8/2019,40.67801,-73.941378,,
60,Atlantic Avenue and Nevins Street,Brooklyn,9/19/2012,40.686088,-73.98266,,
61,Atlantic Avenue and Nostrand Avenue,Brooklyn,8/29/2019,,,,
62,Atlantic Avenue and Sheridan Avenue/Nichols Avenue,Brooklyn,4/14/2021,,,,
63,Atlantic Avenue and Smith Street,Brooklyn,8/15/2013,40.688616,-73.989168,,
64,Atlantic Avenue and Van Siclen Avenue,Brooklyn,9/8/2021,40.676431,-73.891271,,
65,Atlantic Avenue and Waverly Avenue,Brooklyn,8/25/2020,40.681344,-73.96551,,
66,Atlantic Avenue with East New York Avenue and Williams Place,Brooklyn,11/26/2019,,,,
67,Avenue C and East 7th Street,Brooklyn,10/26/2020,40.641063,-73.972269,,
68,Avenue I and East 13th Street,Brooklyn,12/13/2019,40.627367,-73.963701,,
69,Avenue I and East 21st Street,Brooklyn,7/18/2020,40.628234,-73.955811,,
70,Avenue I and East 52nd Street ,Brooklyn,12/30/2019,40.630629,-73.926177,,
71,Avenue J and East 27th Street,Brooklyn,8/16/2017,40.626464,-73.949724,,
72,Avenue J and East 2nd Street,Brooklyn,5/19/2021,40.623725,-73.974625,,
73,Avenue J and East 31st Street,Brooklyn,10/20/2020,40.626888,-73.945876,,
74,Avenue K and East 22nd Street,Brooklyn,2/2/2022,40.623556,-73.953984,,
75,Avenue K and East 27th Street ,Brooklyn,4/6/2022,40.624073,-73.949275,,
76,Avenue K and East 29th Street,Brooklyn,6/22/2018,40.624275,-73.94742,,
77,Avenue K and East 34th Street,Brooklyn,1/28/2022,40.6248,-73.942646,,
78,Avenue K and East 7th Street,Brooklyn,8/27/2021,40.621942,-73.968646,,
79,Avenue K and East 95th Street,Brooklyn,7/2/2021,40.639287,-73.898682,,
80,Avenue K and New York Avenue,Brooklyn,4/15/2021,40.624699,-73.943572,,
81,Avenue K at East 23rd Street,Brooklyn,6/30/2020,40.623658,-73.953051,,
82,Avenue K at East 32nd Street,Brooklyn,10/25/2019,40.624598,-73.944498,,
83,Avenue M and East 24th Street,Brooklyn,5/12/2022,40.618977,-73.951221,,
84,Avenue M and East 26th Street ,Brooklyn,4/22/2021,40.619187,-73.949297,,
85,Avenue M and East 28th Street,Brooklyn,4/28/2021,40.619392,-73.947445,,
86,Avenue O at East 2nd Street,Brooklyn,9/26/2020,40.611491,-73.972397,,
87,Avenue R and East 15th Street,Brooklyn,3/6/2020,40.605799,-73.957724,,
88,Avenue S at West 7th Street,Brooklyn,1/9/2020,40.601043,-73.979387,,
89,Avenue T and East 24th Street,Brooklyn,2/4/2020,40.602057,-73.948021,,
90,Avenue T and East 26th Street ,Brooklyn,1/22/2021,40.60227,-73.946098,,
91,Avenue U and Ocean Avenue,Brooklyn,6/29/2016,40.599382,-73.951404,,
92,Avenue U at East 2nd Street,Brooklyn,6/9/2020,40.597379,-73.96963,,
93,Avenue V and East 8th Street,Brooklyn,5/28/2020,40.595985,-73.962634,,
94,Avenue V at Coyle Street,Brooklyn,6/9/2020,40.598818,-73.936756,,
95,Avenue V with Gravesend Neck Road and East 23rd Street,Brooklyn,6/13/2020,40.597533,-73.94855,40.59758,-73.948122
96,Avenue X and Brown Street,Brooklyn,6/5/2018,40.594026,-73.938716,,
97,Avenue X and East 22nd Street,Brooklyn,2/24/2020,40.592969,-73.94819,,
98,Avenue Y and East 26th Street,Brooklyn,8/17/2017,40.591265,-73.944011,,
99,Avenue Y and East 29th Street,Brooklyn,6/15/2018,40.591571,-73.941231,,
100,Avenue Z and East 6th Street,Brooklyn,12/12/2016,40.58692,-73.96386,,
101,Bay Parkway with Avenue J and East 4th Street,Brooklyn,1/2/2020,40.623963,-73.972446,40.623667,-73.97273
102,Bedford Avenue and Lafayette Avenue,Brooklyn,12/2/2016,40.689445,-73.955121,,
103,Bedford Avenue between Avenue I and Campus Road (mid-block),Brooklyn,1/5/2012,,,,
104,Benson Avenue and Bay 26th Street,Brooklyn,11/7/2020,40.60203,-73.998563,,
105,Benson Avenue at Bay 25th Street,Brooklyn,1/6/2020,40.602458,-73.99928,,
106,Beverley Road and East 54th Street,Brooklyn,2/17/2022,40.646559,-73.925922,,
107,Blake Avenue with Howard Avenue and Tapscott Street,Brooklyn,1/12/2022,,,,
108,Boerum Place and Schermerhorn Street,Brooklyn,8/28/2012,40.690359,-73.989738,,
109,Boerum Place and State Street,Brooklyn,11/26/2013,,,,
110,Brighton Beach Avenue and Brighton 2nd Street,Brooklyn,3/16/2022,40.576827,-73.965096,,
111,Brighton Beach Avenue and Brighton 4th Street,Brooklyn,2/28/2022,40.577214,-73.963278,,
112,Brighton Beach Avenue and Coney Island Avenue,Brooklyn,3/1/2018,,,,
113,Broadway and Bartlett Street,Brooklyn,1/12/2021,40.702314,-73.944639,,
114,Broadway and Hewes Street,Brooklyn,3/21/2021,,,,
115,Broadway and Melrose Street,Brooklyn,10/7/2021,40.697407,-73.936006,,
116,Broadway and Park Street,Brooklyn,4/27/2022,40.699036,-73.9389,,
117,Buffalo Avenue and Saint Marks Avenue,Brooklyn,1/19/2021,40.673845,-73.92508,,
118,Bushwick Avenue and Johnson Avenue,Brooklyn,3/11/2021,40.70692,-73.939715,,
119,Bushwick Avenue and Moore Street,Brooklyn,4/23/2021,,,,
120,Cadman Plaza West and Montague Street,Brooklyn,4/11/2013,40.693722,-73.990455,,
121,Caton Avenue and East 8th Street,Brooklyn,9/11/2018,,,,
122,Caton Avenue with East 17th Street and Parade Place,Brooklyn,1/24/2020,40.650887,-73.964654,40.651005,-73.964355
123,Central Avenue and Jefferson Avenue,Brooklyn,2/25/2021,40.69131,-73.913251,,
124,Central Avenue and Madison Street,Brooklyn,2/26/2021,40.692593,-73.915507,,
125,Central Avenue and Stanhope Street,Brooklyn,2/12/2021,40.697298,-73.923777,,
126,Central Avenue at Harman Street,Brooklyn,9/15/2020,40.696443,-73.922271,,
127,Church Avenue and Dahill Avenue (New York Industries for the Blind),Brooklyn,8/16/2013,,,,
128,Church Avenue and East 21st Street,Brooklyn,1/6/2022,40.65021,-73.959977,,
129,Church Avenue and East 37th Street,Brooklyn,2/10/2020,40.651109,-73.942826,,
130,Church Avenue and McDonald Avenue (New York Industries for the Blind),Brooklyn,7/15/2013,,,,
131,Church Avenue and Ocean Avenue,Brooklyn,11/24/2020,40.650082,-73.961007,,
132,Church Avenue with Buckingham Road and East 16th Street,Brooklyn,1/10/2022,,,,
133,Church Avenue with East 32nd Street and Raleigh Place,Brooklyn,4/23/2020,,,,
134,Church Avenue with Fairview Place and East 31st Street,Brooklyn,12/7/2020,,,,
135,Clarkson Avenue and Kings County Hospital Entrance (200' West of East 37th Street),Brooklyn,2/4/2022,,,,
136,Columbia Street and Mill Street,Brooklyn,11/10/2020,40.676545,-74.006789,,
137,Coney Island Avenue and Avenue N,Brooklyn,12/5/2019,40.615205,-73.963362,,
138,Coney Island Avenue and Avenue Y,Brooklyn,5/4/2022,40.589452,-73.960517,,
139,Coney Island Avenue and Foster Avenue,Brooklyn,2/10/2022,40.632295,-73.966775,,
140,Coney Island Avenue and Kings Highway,Brooklyn,5/8/2020,40.607337,-73.961886,,
141,Coney Island Avenue and Neptune Avenue,Brooklyn,1/26/2022,40.581958,-73.959942,,
142,Coney Island Avenue at Avenue O,Brooklyn,7/18/2020,,,,
143,Coney Island Avenue between Avenue H and Glenwood Road (mid-block),Brooklyn,3/28/2020,,,,
144,Cortelyou Road at Stratford Road,Brooklyn,6/23/2020,,,,
145,Court Street and Atlantic Avenue,Brooklyn,8/26/2013,40.68969,-73.992363,,
146,Court Street and Livingston Street,Brooklyn,6/16/2012,40.691597,-73.991447,,
147,Court Street and Schermerhorn Street,Brooklyn,8/27/2012,40.690994,-73.991742,,
148,Court Street and State Street,Brooklyn,3/30/2014,,,,
149,Court Street with Remsen and Joralemon Street,Brooklyn,5/25/2013,,,,
150,Cropsey Avenue and Bay 32nd Street,Brooklyn,1/4/2016,40.596183,-73.997386,,
151,Cropsey Avenue and Bay 35th / 24th Avenue,Brooklyn,10/28/2015,,,,
152,Cropsey Avenue and Bay 49th Street,Brooklyn,10/28/2015,,,,
153,Dahill Road and 12th Avenue,Brooklyn,5/21/2021,40.645753,-73.981056,,
154,Dekalb Avenue and Ashland Place,Brooklyn,5/3/2022,,,,
155,DeKalb Avenue and Hudson Avenue,Brooklyn,5/11/2015,40.6899,-73.980431,,
156,Dekalb Avenue and S Portland Avenue,Brooklyn,11/21/2016,,,,
157,Dekalb Avenue and Skillman Street,Brooklyn,1/28/2021,40.690799,-73.956357,,
158,Ditmas Avenue and East 5th Street,Brooklyn,12/12/2012,40.635983,-73.974105,,
159,Driggs Avenue and North 10th Street,Brooklyn,4/12/2022,40.718693,-73.954654,,
160,Driggs Avenue and North 11th Street,Brooklyn,4/11/2022,40.719247,-73.954062,,
161,Driggs Avenue and Union Avenue (mid-block),Brooklyn,9/13/2018,,,,
162,East New York Avenue and Kingston Avenue,Brooklyn,2/4/2021,40.662061,-73.942766,,
163,East New York Avenue and Troy Avenue,Brooklyn,10/21/2020,40.662395,-73.937341,,
164,East New York Avenue at Dean Street and Sackman Street,Brooklyn,12/24/2015,,,,
165,"East New York Avenue with East 93rd Street, Ford Street and Rochester Avenue",Brooklyn,3/15/2022,,,,
166,Eastern Parkway and New York Avenue,Brooklyn,1/30/2021,40.669713,-73.94773,,
167,Eastern Parkway and Ralph Avenue,Brooklyn,2/1/2021,40.668373,-73.922631,,
168,Empire Boulevard and McKeever Place,Brooklyn,2/12/2020,40.663361,-73.959738,,
169,Erskine Street and 180' South of Schroeders Avenue,Brooklyn,12/8/2020,,,,
170,Etna Street at Hemlock Street,Brooklyn,9/19/2020,40.68725,-73.87197,,
171,Farragut Road and East 21st Street,Brooklyn,4/21/2022,40.635404,-73.957168,,
172,Farragut Road and East 31st Street,Brooklyn,6/10/2021,40.63633,-73.947043,,
173,Farragut Road and East 82nd Street,Brooklyn,2/22/2021,40.639638,-73.915321,,
174,Farragut Road with East 26th Street and Amersfort Place,Brooklyn,10/13/2021,,,,
175,Fillmore Avenue and East 33rd Street,Brooklyn,12/21/2021,40.609974,-73.935333,,
176,Flatbush Avenue and Atlantic Avenue,Brooklyn,4/8/2019,,,,
177,Flatbush Avenue and Avenue M,Brooklyn,3/17/2022,,,,
