,Location,Borough,Date Installed,lat,lng
0,10th Avenue and 73rd Street,Brooklyn,7/28/2020,40.625446,-74.012834
1,11th Avenue and 71st Street,Brooklyn,2/4/2021,40.625241,-74.009459
2,11th Avenue and Ovington Avenue,Brooklyn,1/23/2021,40.626801,-74.007831
3,14th Avenue and 36th Street (New York Industries for the Blind),Brooklyn,8/18/2013,40.63034,-73.99341
4,17th Avenue and 72nd Street ,Brooklyn,4/12/2020,40.61656,-73.996583
5,17th Avenue and 78th Street,Brooklyn,4/5/2021,40.613119,-74.000181
6,17th Avenue at 73rd Street ,Brooklyn,3/31/2020,40.616001,-73.997168
7,18th Avenue and 54th Street ,Brooklyn,4/7/2020,40.625471,-73.983825
8,18th Avenue and 65th Street,Brooklyn,6/2/2022,40.619137,-73.990178
9,18th Avenue and East 8th Street,Brooklyn,1/13/2021,40.634182,-73.969897
10,20th Avenue and 64th Street,Brooklyn,9/17/2021,40.617119,-73.985238
11,3rd Avenue and 16th Street,Brooklyn,5/25/2021,40.667257,-73.994524
12,3rd Avenue and 33rd Street,Brooklyn,10/23/2015,40.657107,-74.004536
13,3rd Avenue and 59th Street,Brooklyn,10/10/2020,40.642748,-74.020029
14,3rd Avenue at 9th Street,Brooklyn,1/14/2020,40.671457,-73.99102
15,4th Avenue and 240' South of 3rd Street (mid-block),Brooklyn,4/11/2019,42.107877,-84.247917
16,4th Avenue and 36th Street,Brooklyn,3/29/2016,40.654354,-74.004467
17,4th Avenue and 39th Street,Brooklyn,10/15/2015,40.652671,-74.006232
18,4th Avenue and 44th Street,Brooklyn,10/21/2015,40.649796,-74.009025
19,4th Avenue and 45th Street,Brooklyn,10/26/2015,40.649316,-74.009725
20,4th Avenue and 54th Street,Brooklyn,10/21/2015,40.644268,-74.014961
21,4th Avenue and 55th Street,Brooklyn,10/22/2015,40.643631,-74.015419
22,4th Avenue and 59th Street,Brooklyn,1/6/2016,40.641395,-74.017748
23,4th Avenue and 60th Street,Brooklyn,4/17/2017,40.640804,-74.018352
24,4th Avenue and 9th Street,Brooklyn,10/26/2015,40.670311,-73.988664
25,4th Avenue and Union Street,Brooklyn,10/18/2016,40.677441,-73.983104
26,5th Avenue and 24th Street,Brooklyn,11/24/2021,40.659668,-73.995166
27,5th Avenue and 3rd Street,Brooklyn,6/24/2022,40.672793,-73.98328
28,5th Avenue and 89th Street,Brooklyn,12/12/2012,40.619749,-74.02772
29,65th Street and Dahill Road,Brooklyn,1/6/2021,40.609464,-73.974165
30,7th Avenue and 81st Street,Brooklyn,3/9/2020,40.623051,-74.021132
31,7th Avenue and Sterling Place,Brooklyn,5/27/2022,40.677084,-73.973674
32,86th Street and 19th Avenue,Brooklyn,9/20/2019,40.605933,-74.000456
33,86th Street and Avenue W,Brooklyn,5/11/2022,40.591933,-73.97729
34,86th Street and Battery Avenue,Brooklyn,9/10/2019,40.618953,-74.022002
35,86th Street and Bay 22nd Street,Brooklyn,10/27/2015,40.60548,-73.99971
36,86th Street and Bay 34th Street,Brooklyn,5/12/2022,40.60014,-73.99086
37,86th Street and Fort Hamilton Parkway,Brooklyn,4/16/2019,40.620431,-74.024454
38,86th Street and Van Sicklen Street,Brooklyn,6/4/2021,40.591089,-73.975887
39,86th Street and West 6th Street,Brooklyn,7/16/2021,40.591542,-73.976636
40,86th Street between 4th Avenue and 5th Avenue,Brooklyn,2/22/2016,40.692529,-73.990996
41,86th Street between West 8th Street and West 9th Street (mid-block) ,Brooklyn,12/12/2018,39.542952,-86.369241
42,"86th Street with McDonald Avenue, Avenue X and Shell Road",Brooklyn,8/4/2021,40.692529,-73.990996
43,87th Street between 4th Avenue and 5th Avenue (mid-block),Brooklyn,3/15/2019,41.788252,-71.949628
44,8th Avenue and 67th Street,Brooklyn,5/14/2021,40.631487,-74.013739
45,8th Avenue and Windsor Place,Brooklyn,4/29/2022,40.660936,-73.983244
46,9th Avenue and 42nd Street,Brooklyn,11/4/2021,40.644259,-73.996842
47,Adams Street between Fulton Street and Johnson Street (mid-block),Brooklyn,2/21/2012,40.695039,-73.989482
48,Adams Street/Boerum Place and Fulton Street,Brooklyn,4/25/2012,42.107877,-84.247917
49,Adams Street/Boerum Place and Livingston Street,Brooklyn,5/9/2012,40.706587,-73.935783
50,Atlantic Avenue and 134th Street,Brooklyn,11/3/2020,39.542952,-86.369241
51,Atlantic Avenue and 3rd Avenue,Brooklyn,9/10/2018,40.685316,-73.980683
52,Atlantic Avenue and Boerum Place,Brooklyn,4/25/2012,40.689104,-73.990585
53,Atlantic Avenue and Bond Street,Brooklyn,11/26/2013,40.686928,-73.984821
54,Atlantic Avenue and Brooklyn Avenue,Brooklyn,8/8/2018,40.678154,-73.94415
55,Atlantic Avenue and Classon Avenue,Brooklyn,8/3/2019,40.679894,-73.958273
56,Atlantic Avenue and Clermont Avenue,Brooklyn,9/18/2018,40.682074,-73.968683
57,Atlantic Avenue and Franklin Avenue,Brooklyn,12/11/2020,40.679268,-73.95531
58,Atlantic Avenue and Hoyt Street,Brooklyn,5/23/2013,40.687773,-73.986999
59,Atlantic Avenue and Kingston Avenue,Brooklyn,7/8/2019,40.678094,-73.941372
60,Atlantic Avenue and Nevins Street,Brooklyn,9/19/2012,40.686084,-73.982654
61,Atlantic Avenue and Nostrand Avenue,Brooklyn,8/29/2019,40.678548,-73.949685
62,Atlantic Avenue and Sheridan Avenue/Nichols Avenue,Brooklyn,4/14/2021,39.542952,-86.369241
63,Atlantic Avenue and Smith Street,Brooklyn,8/15/2013,40.688611,-73.98917
64,Atlantic Avenue and Van Siclen Avenue,Brooklyn,9/8/2021,40.67649,-73.89129
65,Atlantic Avenue and Waverly Avenue,Brooklyn,8/25/2020,40.681406,-73.965501
66,Atlantic Avenue with East New York Avenue and Williams Place,Brooklyn,11/26/2019,40.692529,-73.990996
67,Avenue C and East 7th Street,Brooklyn,10/26/2020,40.641063,-73.972254
68,Avenue I and East 13th Street,Brooklyn,12/13/2019,40.627363,-73.963692
69,Avenue I and East 21st Street,Brooklyn,7/18/2020,40.628233,-73.955821
70,Avenue I and East 52nd Street ,Brooklyn,12/30/2019,40.630628,-73.926175
71,Avenue J and East 27th Street,Brooklyn,8/16/2017,40.626464,-73.949726
72,Avenue J and East 2nd Street,Brooklyn,5/19/2021,40.62372,-73.974627
73,Avenue J and East 31st Street,Brooklyn,10/20/2020,40.626889,-73.945881
74,Avenue K and East 22nd Street,Brooklyn,2/2/2022,40.623558,-73.953986
75,Avenue K and East 27th Street ,Brooklyn,4/6/2022,40.624073,-73.949287
76,Avenue K and East 29th Street,Brooklyn,6/22/2018,40.624275,-73.947434
77,Avenue K and East 34th Street,Brooklyn,1/28/2022,40.6248,-73.94265
78,Avenue K and East 7th Street,Brooklyn,8/27/2021,40.621945,-73.968645
79,Avenue K and East 95th Street,Brooklyn,7/2/2021,40.63929,-73.898685
80,Avenue K and New York Avenue,Brooklyn,4/15/2021,40.624702,-73.943585
81,Avenue K at East 23rd Street,Brooklyn,6/30/2020,40.623658,-73.953058
82,Avenue K at East 32nd Street,Brooklyn,10/25/2019,40.624601,-73.944495
83,Avenue M and East 24th Street,Brooklyn,5/12/2022,40.618975,-73.951219
84,Avenue M and East 26th Street ,Brooklyn,4/22/2021,40.619186,-73.949296
85,Avenue M and East 28th Street,Brooklyn,4/28/2021,40.619392,-73.947441
86,Avenue O at East 2nd Street,Brooklyn,9/26/2020,40.611489,-73.972391
87,Avenue R and East 15th Street,Brooklyn,3/6/2020,40.605799,-73.957724
88,Avenue S at West 7th Street,Brooklyn,1/9/2020,40.601039,-73.979359
89,Avenue T and East 24th Street,Brooklyn,2/4/2020,40.602059,-73.948018
90,Avenue T and East 26th Street ,Brooklyn,1/22/2021,40.602269,-73.946096
91,Avenue U and Ocean Avenue,Brooklyn,6/29/2016,40.599379,-73.951415
92,Avenue U at East 2nd Street,Brooklyn,6/9/2020,40.597378,-73.969625
93,Avenue V and East 8th Street,Brooklyn,5/28/2020,40.59599,-73.962619
